Designator,Mid X,Mid Y,Layer,Rotation
C2,18.0000,40.7000,Top,0
C5,-13.6000,40.7000,Top,0
C6,9.0500,40.7000,Top,0
C7,-2.1000,40.7000,Top,0
C8,-12.4500,33.5000,Top,0
C9,13.5000,40.7000,Top,0
C10,32.0000,47.0000,Top,0
C11,-52.5000,-14.0000,Top,-90
C13,-16.8500,33.5000,Top,0
C14,-17.7000,40.7000,Top,0
C15,-9.5000,40.7000,Top,0
C16,0.7500,33.5000,Top,0
C17,5.1500,33.5000,Top,0
C20,7.0000,0.0000,Top,90
C21,9.8288,-9.8288,Top,45
C23,-9.8288,-9.8288,Top,-45
C24,-7.0000,0.0000,Top,-90
C25,-4.9497,4.9497,Top,-135
C26,0.0000,7.0000,Top,180
C27,4.9497,4.9497,Top,135
D1,20.0000,-22.5000,Top,90
D2,-23.1000,33.5000,Top,0
D3,15.0000,-16.5000,Top,90
D11,11.0000,0.0000,Top,90
D12,11.6673,-11.6673,Top,45
D14,-11.6673,-11.6673,Top,315
D15,-11.0000,0.0000,Top,270
D16,-9.1924,9.1924,Top,225
D17,0.0000,13.0000,Top,180
D18,9.1924,9.1924,Top,135
F1,20.0000,-9.5000,Top,90
J3,38.0000,-27.0000,Top,0
J9,17.0000,19.5000,Top,0
L1,-23.1000,40.7000,Top,0
L2,3.3000,40.7000,Top,0
Q1,20.0000,-15.5000,Top,270
R1,15.0000,-26.5000,Top,90
R2,-8.0500,33.5000,Top,0
R3,-3.6500,33.5000,Top,0
R4,15.0000,-21.5000,Top,90
R5,9.5500,33.5000,Top,0
R6,14.0000,33.5000,Top,0
R7,18.4000,33.5000,Top,0
U1,-34.9260,34.0140,Top,0
U2,-5.8000,40.7000,Top,180
